(2, 'pta1')
panel = 1
(0, 'NLO($E_T/4$)')
(0, 15.0, 1.0, 0.04372180263178049)
(1, 45.0, 1.0, 0.04806607820814035)
(2, 75.0, 1.0, 0.055860178569732466)
(3, 105.0, 1.0, 0.061836254837161264)
(4, 135.0, 1.0, 0.06420438440596676)
(5, 165.0, 1.0, 0.06721497753519312)
(6, 195.0, 1.0, 0.07038291906522198)
(7, 225.0, 1.0, 0.07330760560114169)
(8, 255.0, 1.0, 0.07449829157312626)
(9, 285.0, 1.0, 0.07684979482568055)
(10, 315.0, 1.0, 0.08121563490548112)
(11, 345.0, 1.0, 0.08416308197840994)
(12, 375.0, 1.0, 0.08910576838834239)
(13, 405.0, 1.0, 0.09320623771940206)
(14, 435.0, 1.0, 0.09400730027139936)
(15, 465.0, 1.0, 0.09909592093613595)
(16, 495.0, 1.0, 0.10117233065861775)
(17, 525.0, 1.0, 0.10648306650208339)
(18, 555.0, 1.0, 0.10310910525808226)
(19, 585.0, 1.0, 0.10176647867296618)
(1, 'NLO($H_T/4$)')
(0, 15.0, 0.9912976435523128, 0.08632485777611998)
(1, 45.0, 0.9935234513684013, 0.0790579600769925)
(2, 75.0, 0.9984362242132253, 0.06500913821825927)
(3, 105.0, 1.0026808066719397, 0.0507296863752722)
(4, 135.0, 1.0044965947128996, 0.04895277206589832)
(5, 165.0, 1.0059428715771113, 0.054098853080786324)
(6, 195.0, 1.0068790637893066, 0.059181385831188926)
(7, 225.0, 1.0074985359623077, 0.06345485464641931)
(8, 255.0, 1.0073547415604234, 0.06537133405373519)
(9, 285.0, 1.0080535407216167, 0.06915466565697781)
(10, 315.0, 1.0087829548222924, 0.07457361623603564)
(11, 345.0, 1.0094585914667797, 0.07868736591666647)
(12, 375.0, 1.009487160502689, 0.08412850589473109)
(13, 405.0, 1.0096245517460571, 0.08876333180106666)
(14, 435.0, 1.0101916779315314, 0.08981421288883984)
(15, 465.0, 1.0091004106823744, 0.0953462927266231)
(16, 495.0, 1.0092104789168308, 0.09841171826903095)
(17, 525.0, 1.0100470713036496, 0.10379373784375112)
(18, 555.0, 1.0092154875847519, 0.10057363722959067)
(19, 585.0, 1.0096983441119047, 0.09967686754021465)
(2, 'NLO($m_t$)')
(0, 15.0, 0.9813946682553046, 0.06357587716939106)
(1, 45.0, 0.9815610955311965, 0.06357352036986275)
(2, 75.0, 0.9829536614622725, 0.0646454973601791)
(3, 105.0, 0.9853568596756623, 0.06617551065589622)
(4, 135.0, 0.9891360288162097, 0.06541176985560326)
(5, 165.0, 0.9923301431499474, 0.06501976614689331)
(6, 195.0, 0.9961033829031175, 0.06470456377714295)
(7, 225.0, 0.9978864091194205, 0.0626516582768456)
(8, 255.0, 0.9984357837496393, 0.057836876105769375)
(9, 285.0, 0.9997182523325838, 0.05526884332763449)
(10, 315.0, 1.005333267713853, 0.05632332602200785)
(11, 345.0, 1.0079901793180257, 0.0560380533252306)
(12, 375.0, 1.0096962593166403, 0.06174432859548096)
(13, 405.0, 1.0137168023275023, 0.07250737736549384)
(14, 435.0, 1.0079322868241989, 0.10130028244734413)
(15, 465.0, 1.016725959479458, 0.07989859674842403)
(16, 495.0, 1.0222393694694336, 0.07524397464601862)
(17, 525.0, 1.0235070342158432, 0.1051241999333894)
(18, 555.0, 1.0197002931148635, 0.10451766654182026)
(19, 585.0, 1.0232136990898533, 0.10301611348865292)
panel = 2
(3, 'skip')
(0, 15.0, 1.0, 0.30239259380559935)
(1, 45.0, 1.0, 0.3060900154256847)
(2, 75.0, 1.0, 0.3149823231226263)
(3, 105.0, 1.0, 0.32358697490569743)
(4, 135.0, 1.0, 0.3306670254669204)
(5, 165.0, 1.0, 0.33652856737027004)
(6, 195.0, 1.0, 0.34152206166356036)
(7, 225.0, 1.0, 0.34613727132577066)
(8, 255.0, 1.0, 0.34986210856697864)
