(0, 'ptb1')
Fixed cone = 21.4976874665 +- 0.0129665685642
Hybrid iso = 21.4933183713 +- 0.0129305096401
Smooth cone = 21.4322991232 +- 0.0132838964639
panel = 1
(0, 'Fixed cone')
(0, 15.0, 1.0, 0.09943902715337793)
(1, 45.0, 1.0, 0.058651583412004715)
(2, 75.0, 1.0, 0.03939782141406978)
(3, 105.0, 1.0, 0.041019576092818144)
(4, 135.0, 1.0, 0.04863465446804249)
(5, 165.0, 1.0, 0.059508685519625626)
(6, 195.0, 1.0, 0.06961009846955823)
(7, 225.0, 1.0, 0.07930342431824533)
(8, 255.0, 1.0, 0.08618005635618076)
(9, 285.0, 1.0, 0.09430876924908038)
(10, 315.0, 1.0, 0.0993133785786311)
(11, 345.0, 1.0, 0.10469476115158793)
(12, 375.0, 1.0, 0.10591825704308222)
(13, 405.0, 1.0, 0.11470566943470861)
(14, 435.0, 1.0, 0.11601359968978409)
(15, 465.0, 1.0, 0.12662456780641063)
(16, 495.0, 1.0, 0.12220543029112552)
(17, 525.0, 1.0, 0.12579969077501907)
(18, 555.0, 1.0, 0.1350944802585361)
(19, 585.0, 1.0, 0.1324497010233342)
(2, 'Smooth cone')
(0, 15.0, 0.9959383754516987, 0.09789628189063648)
(1, 45.0, 0.9975174762999939, 0.058049147314295)
(2, 75.0, 0.9963461508140711, 0.04115256458824168)
(3, 105.0, 0.9955479530013097, 0.04079754657142742)
(4, 135.0, 0.997039108363392, 0.047903109214679884)
(5, 165.0, 0.9992897809951123, 0.059242709059611376)
(6, 195.0, 1.002426769532509, 0.07030319785333505)
(7, 225.0, 0.9976237367152733, 0.07867346785748663)
(8, 255.0, 0.9954090490606923, 0.08519211130167359)
(9, 285.0, 0.9882945453347486, 0.09146475725528158)
(10, 315.0, 0.9910870966054552, 0.09721864493592314)
(11, 345.0, 0.9996476347478457, 0.10506898021465982)
(12, 375.0, 1.0283901907357824, 0.11240435953606664)
(13, 405.0, 0.9868377199806148, 0.11208043009958968)
(14, 435.0, 0.97931308964832, 0.11223805032123635)
(15, 465.0, 1.022656704965884, 0.13026950344513066)
(16, 495.0, 1.0228661077871801, 0.125980392032776)
(17, 525.0, 1.006668870077571, 0.12597121533394295)
(18, 555.0, 1.0009911154817044, 0.13780721286710795)
(19, 585.0, 1.0265874868131337, 0.13335404150026475)
(1, 'Hybrid iso')
(0, 15.0, 1.0072111917827626, 0.10024117876113336)
(1, 45.0, 1.0009754031195053, 0.058893961049150345)
(2, 75.0, 0.9995901257403814, 0.03959547451203471)
(3, 105.0, 1.0001736621761643, 0.04095835421244942)
(4, 135.0, 1.0000911659066447, 0.04869123549414989)
(5, 165.0, 1.0006066100243585, 0.059656196018990304)
(6, 195.0, 0.9952678445885723, 0.06840111490108303)
(7, 225.0, 0.9958084403140616, 0.07809392497399581)
(8, 255.0, 0.9945696170099078, 0.08515563170914775)
(9, 285.0, 0.9928694733911678, 0.09264127714759562)
(10, 315.0, 1.006240122325247, 0.10094127965236699)
(11, 345.0, 1.0075535969887435, 0.10675293549536591)
(12, 375.0, 0.9922039396442185, 0.10478852074467082)
(13, 405.0, 0.9719156910578645, 0.10823599634884151)
(14, 435.0, 1.0027065945328797, 0.11679236433443718)
(15, 465.0, 1.027274520608924, 0.13127625813976274)
(16, 495.0, 0.9815673202985538, 0.11466948878341388)
(17, 525.0, 1.0141367937198567, 0.12661618196376223)
(18, 555.0, 1.0137229486899493, 0.1403455597407759)
(19, 585.0, 1.0774359593911647, 0.16052893276947744)
(2, 'pta1')
panel = 1
(0, 'Fixed cone')
(0, 15.0, 1.0, 0.04372180263178049)
(1, 45.0, 1.0, 0.04806607820814035)
(2, 75.0, 1.0, 0.055860178569732466)
(3, 105.0, 1.0, 0.061836254837161264)
(4, 135.0, 1.0, 0.06420438440596676)
(5, 165.0, 1.0, 0.06721497753519312)
(6, 195.0, 1.0, 0.07038291906522198)
(7, 225.0, 1.0, 0.07330760560114169)
(8, 255.0, 1.0, 0.07449829157312626)
(9, 285.0, 1.0, 0.07684979482568055)
(10, 315.0, 1.0, 0.08121563490548112)
(11, 345.0, 1.0, 0.08416308197840994)
(12, 375.0, 1.0, 0.08910576838834239)
(13, 405.0, 1.0, 0.09320623771940206)
(14, 435.0, 1.0, 0.09400730027139936)
(15, 465.0, 1.0, 0.09909592093613595)
(16, 495.0, 1.0, 0.10117233065861775)
(17, 525.0, 1.0, 0.10648306650208339)
(18, 555.0, 1.0, 0.10310910525808226)
(19, 585.0, 1.0, 0.10176647867296618)
(2, 'Smooth cone')
(0, 15.0, 0.989840607458742, 0.04116346725686326)
(1, 45.0, 0.9963088234934939, 0.04706737843896569)
(2, 75.0, 1.0068202097745247, 0.05744985693104143)
(3, 105.0, 1.0090047853006183, 0.06390356747282755)
(4, 135.0, 1.0133165210501347, 0.06723499344131123)
(5, 165.0, 1.0126697405084275, 0.0701996134965811)
(6, 195.0, 1.0140028282097469, 0.07367800809530234)
(7, 225.0, 1.0146907560750196, 0.07660361002555638)
(8, 255.0, 1.0182726616766256, 0.07855097795726984)
(9, 285.0, 1.0183515861665384, 0.08110833047072696)
(10, 315.0, 1.0075435736805465, 0.08272207005489174)
(11, 345.0, 1.0117623290480429, 0.08647676915993718)
(12, 375.0, 1.0113489038169319, 0.09147867766885864)
(13, 405.0, 1.0202563945286698, 0.09752791805031269)
(14, 435.0, 1.0186264655730866, 0.098062423670773)
(15, 465.0, 1.0171913442044551, 0.10240390732467275)
(16, 495.0, 1.0180650835521199, 0.10477292524222737)
(17, 525.0, 1.011888775444012, 0.10836591051103173)
(18, 555.0, 1.015543377677384, 0.10577877511406863)
(19, 585.0, 1.0227608090566123, 0.1067129535517759)
(1, 'Hybrid iso')
(0, 15.0, 0.9988920416076393, 0.0433747254564838)
(1, 45.0, 0.9986435522069804, 0.047711725095514246)
(2, 75.0, 1.0033399351360306, 0.05668461197396912)
(3, 105.0, 1.002359336434762, 0.06241245254148409)
(4, 135.0, 1.003803244072022, 0.06504490188325263)
(5, 165.0, 1.0043888654675068, 0.06835315254345964)
(6, 195.0, 1.0019073162491583, 0.07083573779039198)
(7, 225.0, 1.0003059394905922, 0.07331592681842125)
(8, 255.0, 1.0052572139370242, 0.07560976085578897)
(9, 285.0, 1.0074892900786359, 0.0787365219693702)
(10, 315.0, 1.0009719806880133, 0.08130200992721015)
(11, 345.0, 1.00524316939144, 0.08526183801980991)
(12, 375.0, 1.0049241450398334, 0.09037704390689649)
